Ride ID,Request Time,Pickup Location,latitude,longitude,Dropoff Location,,,Ride Distance (in miles),Fare Amount (in $),Payment Method,Driver ID,Vehicle Type,Traffic Condition,Peak Hours,Day of Week,Public Holiday,User Rating
1,5/18/23 17:43,"6.80958,88.414178",6.80958,88.414178,"60.684022,154.418201",60.684022,154.418201,5755.57292917135,595.56,Visa,RQ0575,SUV,High,Yes,Thursday,No,1
2,11/18/22 7:56,"-21.696743,88.475394",-21.696743,88.475394,"-85.262893,-130.34977",-85.262893,-130.34977,7643.32369094525,784.33,Cash,WY9652,Sedan,High,Yes,Wednesday,Yes,2
3,2/7/23 11:03,"-48.093926,17.985128",-48.093926,17.985128,"77.319065,85.424686",77.319065,85.424686,4593.34785330224,479.33,Debit Card,FH4661,Motorcycle,Low,No,Monday,Yes,4
4,12/25/23 14:46,"44.140035,-52.180868",44.140035,-52.180868,"39.680544,65.652741",39.680544,65.652741,6833.05884306458,703.31,PayPal,DH5089,Sedan,High,Yes,Saturday,No,5
5,1/4/24 0:09,"86.855219,27.273046",86.855219,27.273046,"-73.003385,25.410744",-73.003385,25.410744,4369.05676139507,456.91,Debit Card,JP0992,Bus,Low,No,Saturday,Yes,2
6,1/8/22 0:31,"-44.806578,-122.590444",-44.806578,-122.590444,"74.968712,65.673319",74.968712,65.673319,5354.33872645014,555.43,Debit Card,PP8743,Motorcycle,Low,Yes,Wednesday,Yes,4
7,1/15/23 5:06,"47.072267,-114.162494",47.072267,-114.162494,"46.989519,174.577247",46.989519,174.577247,8282.63182616641,848.26,Cash,LJ0955,Motorcycle,Medium,Yes,Monday,Yes,3
8,5/13/23 7:30,"-78.330878,-38.42791",-78.330878,-38.42791,"-20.223909,158.376168",-20.223909,158.376168,4369.60533479688,456.96,Apple Pay,LZ1628,Sedan,Low,No,Sunday,No,3
9,7/13/22 21:54,"86.431903,-151.897311",86.431903,-151.897311,"-74.766092,48.894457",-74.766092,48.894457,8021.22812500506,822.12,Cash,MQ0900,SUV,Medium,No,Monday,No,2
10,11/6/23 10:28,"17.490469,52.199654",17.490469,52.199654,"27.192523,128.824114",27.192523,128.824114,5744.08281923208,594.41,Debit Card,EK2191,Motorcycle,High,Yes,Thursday,No,3
